"id","img_name","img_item_categor","img_file","img_price_categor","img_catalog"
"1051","0-texture","rogozhka","0-texture.jpg","2","./cloth/rogozhka/0-texture.jpg"
"1052","1","rogozhka","1.jpg","2","./cloth/rogozhka/1.jpg"
"1053","10","rogozhka","10.jpg","2","./cloth/rogozhka/10.jpg"
"1054","11","rogozhka","11.jpg","2","./cloth/rogozhka/11.jpg"
"1055","12","rogozhka","12.jpg","2","./cloth/rogozhka/12.jpg"
"1056","2","rogozhka","2.jpg","2","./cloth/rogozhka/2.jpg"
"1057","3","rogozhka","3.jpg","2","./cloth/rogozhka/3.jpg"
"1058","4","rogozhka","4.jpg","2","./cloth/rogozhka/4.jpg"
"1059","5","rogozhka","5.jpg","2","./cloth/rogozhka/5.jpg"
"1060","6","rogozhka","6.jpg","2","./cloth/rogozhka/6.jpg"
"1061","7","rogozhka","7.jpg","2","./cloth/rogozhka/7.jpg"
"1062","8","rogozhka","8.jpg","3","./cloth/rogozhka/8.jpg"
"1063","9","rogozhka","9.jpg","2","./cloth/rogozhka/9.jpg"
"1064","1","velur","1.jpg","3","./cloth/velur/1.jpg"
"1065","10","velur","10.jpg","3","./cloth/velur/10.jpg"
"1066","11","velur","11.jpg","3","./cloth/velur/11.jpg"
"1067","12","velur","12.jpg","3","./cloth/velur/12.jpg"
"1068","2","velur","2.jpg","2","./cloth/velur/2.jpg"
"1069","3","velur","3.jpg","2","./cloth/velur/3.jpg"
"1070","4","velur","4.jpg","2","./cloth/velur/4.jpg"
"1071","5","velur","5.jpg","4","./cloth/velur/5.jpg"
"1072","6","velur","6.jpg","3","./cloth/velur/6.jpg"
"1073","7","velur","7.jpg","5","./cloth/velur/7.jpg"
"1074","8","velur","8.jpg","4","./cloth/velur/8.jpg"
"1075","9","velur","9.jpg","3","./cloth/velur/9.jpg"
